native_pipe_id,asset_id,break_date,break_type,result,source,rminfo,wo_dateinc
WM02656-C,0,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20020912.0
WM04742-P,1,2022,CONTRACTOR HIT,Resolved,RECORD,1,20210618.0
WM00040-C,2,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20130610.0
WM12614-C,3,2022,"PINHOLE >1""",Resolved,WORKORDER,0,20080521.0
WM04879-A,4,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20150425.0
WM03476-C,5,2022,,Resolved,WORKORDER,0,20170608.0
WM10877-C,6,2022,JOINT FAILURE,Resolved,WORKORDER,0,20171025.0
WM08758-A,7,2022,"PINHOLE >1""",Resolved,RECORD,1,20191013.0
WM08812-C,8,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20040718.0
WM11883-D,9,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20010625.0
WM08160-C,10,2022,JOINT FAILURE,Resolved,WORKORDER,0,20170501.0
WM01281-C,11,2022,"PINHOLE >1""",Resolved,WORKORDER,0,20170528.0
WM08964-C,12,2022,"PINHOLE <=1""",Resolved,RECORD,1,20060527.0
WM01461-P,13,2022,,Resolved,WORKORDER,0,20060919.0
WM08737-C,14,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,
WM06392-C,15,2022,JOINT FAILURE,Resolved,WORKORDER,0,20070210.0
WM04805-C,16,2022,"PINHOLE <=1""",Resolved,WORKORDER,0,
WM02393-A,17,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20020825.0
WM04656-A,18,2022,CONTRACTOR HIT,Resolved,RECORD,1,20171205.0
WM08946-C,19,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20190123.0
WM14555-A,20,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20070915.0
WM03583-C,21,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20081001.0
WM06123-A,22,2022,CONTRACTOR HIT,Resolved,RECORD,1,20031119.0
WM04815-C,23,2022,CONTRACTOR HIT,Resolved,RECORD,1,
WM00269-A,24,2022,"PINHOLE <=1""",Resolved,WORKORDER,0,20050723.0
WM07408-C,25,2022,"PINHOLE >1""",Resolved,RECORD,1,20100504.0
WM10684-C,26,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,
WM01881-A,27,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20160212.0
WM00751-C,28,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,
WM14333-L,29,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20160114.0
WM01013-A,30,2022,"PINHOLE <=1""",Resolved,WORKORDER,0,20140626.0
WM01434-D,31,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20051017.0
WM02156-C,32,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20090326.0
WM08538-A,33,2022,"PINHOLE >1""",Resolved,WORKORDER,0,20190406.0
WM09539-A,34,2022,JOINT FAILURE,Resolved,WORKORDER,0,20150408.0
WM10377-C,35,2022,"PINHOLE >1""",Resolved,WORKORDER,0,20050409.0
WM06647-C,36,2022,JOINT FAILURE,Resolved,WORKORDER,0,20121206.0
WM07545-C,37,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20011013.0
WM03658-C,38,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20160101.0
WM06544-A,39,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20060713.0
WM00691-C,40,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20180926.0
WM11511-A,41,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20140208.0
WM02327-A,42,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20170511.0
WM11501-A,43,2022,"PINHOLE <=1""",Resolved,RECORD,1,20160405.0
WM09689-C,44,2022,CONTRACTOR HIT,Resolved,RECORD,1,20140713.0
WM05500-C,45,2022,CONTRACTOR HIT,Resolved,WORKORDER,0,20171009.0
WM06398-A,46,2022,"PINHOLE >1""",Resolved,RECORD,1,20050222.0
WM13798-C,47,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20010525.0
WM07847-S,48,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,
WM02477-C,49,2022,"PINHOLE >1""",Resolved,WORKORDER,0,20131009.0
WM02577-A,50,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20020723.0
WM06540-A,51,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,
WM00685-A,52,2022,"PINHOLE <=1""",Resolved,WORKORDER,0,20040927.0
WM14626-A,53,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20081105.0
WM01536-L,54,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20070328.0
WM05094-C,55,2022,"PINHOLE <=1""",Resolved,WORKORDER,0,20020710.0
WM11138-S,56,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,
WM00070-A,57,2022,CONTRACTOR HIT,Resolved,WORKORDER,0,20120217.0
WM00545-C,58,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20110412.0
WM09050-A,59,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20211111.0
WM00744-A,60,2022,"PINHOLE >1""",Resolved,WORKORDER,0,20170610.0
WM10291-P,61,2022,,Resolved,WORKORDER,0,20160313.0
WM02804-D,62,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20011220.0
WM04990-C,63,2022,"PINHOLE <=1""",Resolved,WORKORDER,0,20020803.0
WM03843-C,64,2022,"PINHOLE <=1""",Resolved,WORKORDER,0,
WM06867-C,65,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20150714.0
