GIS_ASSET_WMID,PIPE_MATERIAL,INSTALLATI_YR,Shape_LENGTH,PIPE_DIAMETER,IN_USE,SOURCE,soil_ph,mean_low_temp,soil_moisture_index
WM09952-D,DUC(K),S63.12,24.61831687036465,10.0,TRUE,ASBUILT,7.607464393088112,4.924142844296868,6.355881711708727
WM02595-P,CIP,S29.7,514.0157797367137,10.0,TRUE,RECORDS,7.998868412794156,5.738294510685913,7.589341352671096
WM04638-C,CIP,S11.1,447.7479831801829,6.0,TRUE,RECORDS,8.278670697144431,5.193168467833948,5.67780202162204
WM02974-D,DUC(G),S55.2,120.43864644488349,14.0,TRUE,RECORDS,6.409755575647128,6.1549221994281025,3.547068826078541
WM08449-D,DUC(K),H28.9,0.01866960889310576,10.0,TRUE,ASBUILT,7.114687093887714,8.418887919298287,4.167609296053767
WM08058-C,CIP,S13.6,765.3167343928217,,TRUE,RECORDS,6.710619044602268,6.76817645178602,3.0910569935154917
WM07635-C,CIP,S14.1,145.86007118101406,14.0,TRUE,GIS_MERGE,7.653352065971532,6.156720463957012,3.0301779263424478
WM09826-C,CIP,S15.4,546.3079812078067,8.0,TRUE,RECORDS,7.738036371270244,3.566434311541099,6.631472276722758
WM08486-P,CIP,S4.8,216.05229277548642,4.0,TRUE,RECORDS,5.492832677833531,7.463011135660851,7.345116829923302
WM00851-A,ACON,S18.6,3.5201144712918904,14.0,TRUE,RECORDS,7.846151092643313,4.635549283058702,3.670116720091042
WM07258-C,CIP,S16.8,356.2822926015506,8.0,TRUE,RECORDS,7.42106654508189,7.659924270518456,7.407932548777437
WM08329-C,CIP,S1.7,218.3343001770627,12.0,TRUE,RECORDS,6.140224689035214,3.3500074118286465,2.571878222385186
WM00934-C,CIP,S2.11,807.0873563323767,,TRUE,ASBUILT,8.240733603382727,7.847704324201041,7.124107221084451
WM07734-L,DUC(G),H2.6,20.249545404018136,6.0,TRUE,RECORDS,6.4392714615963635,4.187176378417976,6.025843453098028
WM06567-D,CIP,S13.9,403.4172346299456,6.0,TRUE,ASBUILT,6.696895486867209,6.523713477445128,6.577947893574194
WM10002-D,DUC(K),S28.3,19.676330104353838,8.0,TRUE,RECORDS,7.291553736096739,6.746321283582606,2.2650057335559257
WM05700-A,ACON,S50.3,405.8079139794572,8.0,TRUE,RECORDS,5.9857646676862455,6.903865114626556,6.357748327095972
WM02066-C,CIP,S14.8,74.83030560458428,4.0,TRUE,RECORDS,7.557936183859412,6.418012292392145,2.403082936763541
WM10954-P,DUC(G),S55.6,351.2155426484387,4.0,TRUE,RECORDS,5.413249841559262,7.794234328769951,6.334500152718762
WM01043-P,PVC,H24.4,68.29539723615017,16.0,TRUE,ASBUILT,6.6091874492392915,3.9674235872182293,2.327108457009663
WM06754-P,PVC,H1.4,86.84399141560425,4.0,TRUE,ASBUILT,6.338626445173592,4.175612661438632,6.179559561116059
WM03858-C,CIP,T9.3,30.805618943362788,4.0,TRUE,RECORDS,8.488419275416744,6.247249477114026,5.796225048816098
WM05635-C,CIP,S27.5,196.9334361611036,4.0,TRUE,RECORDS,6.780295575188587,1.1457586481787394,1.738173696958258
WM05594-C,CIP,S23.2,4.864904453505005,6.0,TRUE,GIS_MERGE,7.496298103237574,6.905557755603018,8.36737941890688
WM02656-C,CIP,S4.8,344.4530219640801,4.0,FALSE,RECORDS,7.447598578803786,8.00380580806005,7.5012770716874035
WM00303-C,CIP,S26.11,98.51409285519185,12.0,TRUE,ASBUILT,8.155353734236098,3.4928669796546727,3.58927632097858
WM08685-D,DUC(K),S50.8,292.4421288805752,6.0,TRUE,RECORDS,7.081832667405833,4.451174665679043,7.569572540968508
WM12435-L,CIP,S24.6,78.71555946155422,12.0,TRUE,RECORDS,8.556172400488457,6.010830414772159,4.560492238782347
WM03192-A,ACON,S49.7,12.57812268352427,10.0,TRUE,RECORDS,7.161639323416626,2.920389536690724,10.57781319992947
WM07152-C,CIP,S6.12,165.42139139791107,6.0,TRUE,RECORDS,5.613826440365792,3.88942474862239,2.3242816521250456
WM13141-C,CIP,S20.6,229.68973808631563,6.0,TRUE,ASBUILT,7.556197782647484,6.391323197424301,3.4853977639660814
WM13928-C,CIP,S17.2,73.00052158645849,6.0,FALSE,RECORDS,5.856182878140568,4.479389121560452,5.411279331074846
WM14033-S,STP,S24.12,230.8341477175636,8.0,TRUE,RECORDS,8.288511872185268,7.070753709888256,8.299374550127258
WM00602-D,DUC(G),H27.2,30.77894492156338,10.0,TRUE,ASBUILT,7.3458973591615715,7.9018370147638,7.072720575686555
WM14555-C,CIP,S20.7,12.463910098165798,4.0,TRUE,RECORDS,6.864698432014014,8.437522361948368,3.0014441575164783
WM01616-C,CIP,S27.12,453.77829460494104,8.0,TRUE,RECORDS,6.9852248296635455,3.5371549534531406,3.2363146675399097
WM00069-C,CIP,S1.7,11.018933309380373,14.0,TRUE,ASBUILT,6.817878014092979,4.325172141161772,7.474703724227595
WM00438-L,CIP,S14.1,973.6458686570477,,TRUE,RECORDS,6.9876415831729215,4.7785607928735105,3.2390459923966795
